Original_Date,Fixed_Date,String Date,Year,Month,Day,Full_Date,Month,Month_Date_Format,New Tests,Cases,Negative,Hospitalized,Deaths,Total
Tue Jul 28 2020,Jul 28 2020,Jul 28 2020,2020,7,28,7/28/20,202007,7/1/20,12598,165934,724997,9394,3408,890931
Mon Jul 27 2020,Jul 27 2020,Jul 27 2020,2020,7,27,7/27/20,202007,7/1/20,11230,163827,714506,7751,3304,878333
Sun Jul 26 2020,Jul 26 2020,Jul 26 2020,2020,7,26,7/26/20,202007,7/1/20,9494,162014,705089,7706,3305,867103
Sat Jul 25 2020,Jul 25 2020,Jul 25 2020,2020,7,25,7/25/20,202007,7/1/20,20792,160041,697568,7627,3286,857609
Fri Jul 24 2020,Jul 24 2020,Jul 24 2020,2020,7,24,7/24/20,202007,7/1/20,14104,156301,680516,7461,3142,836817
Thu Jul 23 2020,Jul 23 2020,Jul 23 2020,2020,7,23,7/23/20,202007,7/1/20,8732,152944,669769,7236,3063,822713
Wed Jul 22 2020,Jul 22 2020,Jul 22 2020,2020,7,22,7/22/20,202007,7/1/20,6315,150609,663372,7047,2974,813981
Tue Jul 21 2020,Jul 21 2020,Jul 21 2020,2020,7,21,7/21/20,202007,7/1/20,14143,148683,658983,6894,2918,807666
Mon Jul 20 2020,Jul 20 2020,Jul 20 2020,2020,7,20,7/20/20,202007,7/1/20,7544,145183,648340,6698,2784,793523
Sun Jul 19 2020,Jul 19 2020,Jul 19 2020,2020,7,19,7/19/20,202007,7/1/20,13988,143624,642355,6632,2761,785979
Sat Jul 18 2020,Jul 18 2020,Jul 18 2020,2020,7,18,7/18/20,202007,7/1/20,7023,141265,630726,6567,2730,771991
Fri Jul 17 2020,Jul 17 2020,Jul 17 2020,2020,7,17,7/17/20,202007,7/1/20,15702,138523,626445,6402,2583,764968
Thu Jul 16 2020,Jul 16 2020,Jul 16 2020,2020,7,16,7/16/20,202007,7/1/20,13304,134613,614653,6296,2492,749266
Wed Jul 15 2020,Jul 15 2020,Jul 15 2020,2020,7,15,7/15/20,202007,7/1/20,14019,131354,604608,6103,2434,735962
Tue Jul 14 2020,Jul 14 2020,Jul 14 2020,2020,7,14,7/14/20,202007,7/1/20,19517,128097,593846,5942,2337,721943
Mon Jul 13 2020,Jul 13 2020,Jul 13 2020,2020,7,13,7/13/20,202007,7/1/20,6254,123824,578602,5839,2245,702426
Sun Jul 12 2020,Jul 12 2020,Jul 12 2020,2020,7,12,7/12/20,202007,7/1/20,12182,122467,573705,5795,2237,696172
Sat Jul 11 2020,Jul 11 2020,Jul 11 2020,2020,7,11,7/11/20,202007,7/1/20,14779,119930,564060,5750,2151,683990
Fri Jul 10 2020,Jul 10 2020,Jul 10 2020,2020,7,10,7/10/20,202007,7/1/20,16150,116892,552319,5659,2082,669211
Thu Jul 9 2020,Jul 9 2020,Jul 9 2020,2020,7,9,7/9/20,202007,7/1/20,11991,112671,540390,5526,2038,653061
Wed Jul 8 2020,Jul 8 2020,Jul 8 2020,2020,7,8,7/8/20,202007,7/1/20,12273,108614,532456,5387,1963,641070
Tue Jul 7 2020,Jul 7 2020,Jul 7 2020,2020,7,7,7/7/20,202007,7/1/20,10956,105094,523703,5272,1927,628797
Mon Jul 6 2020,Jul 6 2020,Jul 6 2020,2020,7,6,7/6/20,202007,7/1/20,13479,101441,516400,5188,1810,617841
Sun Jul 5 2020,Jul 5 2020,Jul 5 2020,2020,7,5,7/5/20,202007,7/1/20,14854,98089,506273,5161,1809,604362
Sat Jul 4 2020,Jul 4 2020,Jul 4 2020,2020,7,4,7/4/20,202007,7/1/20,11127,94553,494955,5068,1805,589508
Fri Jul 3 2020,Jul 3 2020,Jul 3 2020,2020,7,3,7/3/20,202007,7/1/20,17542,91858,486523,5018,1788,578381
Thu Jul 2 2020,Jul 2 2020,Jul 2 2020,2020,7,2,7/2/20,202007,7/1/20,11243,87425,473414,4916,1757,560839
Wed Jul 1 2020,Jul 1 2020,Jul 1 2020,2020,7,1,7/1/20,202007,7/1/20,17240,84092,465504,4837,1720,549596
Tue Jun 30 2020,Jun 30 2020,Jun 30 2020,2020,6,30,6/30/20,202006,6/1/20,20933,79215,453141,4736,1632,532356
Mon Jun 29 2020,Jun 29 2020,Jun 29 2020,2020,6,29,6/29/20,202006,6/1/20,1527,74533,436890,4634,1588,511423
Sun Jun 28 2020,Jun 28 2020,Jun 28 2020,2020,6,28,6/28/20,202006,6/1/20,15149,73908,435988,4617,1588,509896
Sat Jun 27 2020,Jun 27 2020,Jun 27 2020,2020,6,27,6/27/20,202006,6/1/20,14924,70051,424696,4595,1579,494747
Fri Jun 26 2020,Jun 26 2020,Jun 26 2020,2020,6,26,6/26/20,202006,6/1/20,15627,66548,413275,4514,1535,479823
Thu Jun 25 2020,Jun 25 2020,Jun 25 2020,2020,6,25,6/25/20,202006,6/1/20,15008,63030,401166,4406,1490,464196
Wed Jun 24 2020,Jun 24 2020,Jun 24 2020,2020,6,24,6/24/20,202006,6/1/20,8670,59974,389214,4313,1463,449188
Tue Jun 23 2020,Jun 23 2020,Jun 23 2020,2020,6,23,6/23/20,202006,6/1/20,10728,58179,382339,4255,1384,440518
Mon Jun 22 2020,Jun 22 2020,Jun 22 2020,2020,6,22,6/22/20,202006,6/1/20,10046,54586,375204,4255,1342,429790
Sun Jun 21 2020,Jun 21 2020,Jun 21 2020,2020,6,21,6/21/20,202006,6/1/20,14464,52390,367354,4255,1339,419744
Sat Jun 20 2020,Jun 20 2020,Jun 20 2020,2020,6,20,6/20/20,202006,6/1/20,13064,49798,355482,4252,1338,405280
Fri Jun 19 2020,Jun 19 2020,Jun 19 2020,2020,6,19,6/19/20,202006,6/1/20,12484,46689,345527,4246,1312,392216
