Date,Fixed_Date,String_Date,Year,Month,Day,Full_Date,Month,Month_Date_Format,New Tests,Cases,Negative,Hospitalized,Deaths,Total
Tue Jul 28 2020,Jul 28 2020,Jul 28 2020,2020,7,28,7/28/20,202007,7/1/20,57397,412878,5271668,89995,25126,5684546
Mon Jul 27 2020,Jul 27 2020,Jul 27 2020,2020,7,27,7/27/20,202007,7/1/20,57270,412344,5214805,89995,25117,5627149
Sun Jul 26 2020,Jul 26 2020,Jul 26 2020,2020,7,26,7/26/20,202007,7/1/20,53568,411736,5158143,89995,25106,5569879
Sat Jul 25 2020,Jul 25 2020,Jul 25 2020,2020,7,25,7/25/20,202007,7/1/20,71466,411200,5105111,89995,25103,5516311
Fri Jul 24 2020,Jul 24 2020,Jul 24 2020,2020,7,24,7/24/20,202007,7/1/20,76507,410450,5034395,89995,25090,5444845
Thu Jul 23 2020,Jul 23 2020,Jul 23 2020,2020,7,23,7/23/20,202007,7/1/20,69698,409697,4958641,89995,25081,5368338
Wed Jul 22 2020,Jul 22 2020,Jul 22 2020,2020,7,22,7/22/20,202007,7/1/20,67659,408886,4889754,89995,25068,5298640
Tue Jul 21 2020,Jul 21 2020,Jul 21 2020,2020,7,21,7/21/20,202007,7/1/20,66169,408181,4822800,89995,25058,5230981
Mon Jul 20 2020,Jul 20 2020,Jul 20 2020,2020,7,20,7/20/20,202007,7/1/20,49342,407326,4757486,89995,25056,5164812
Sun Jul 19 2020,Jul 19 2020,Jul 19 2020,2020,7,19,7/19/20,202007,7/1/20,46204,406807,4708663,89995,25048,5115470
Sat Jul 18 2020,Jul 18 2020,Jul 18 2020,2020,7,18,7/18/20,202007,7/1/20,69817,406305,4662961,89995,25035,5069266
Fri Jul 17 2020,Jul 17 2020,Jul 17 2020,2020,7,17,7/17/20,202007,7/1/20,78239,405551,4593898,89995,25024,4999449
Thu Jul 16 2020,Jul 16 2020,Jul 16 2020,2020,7,16,7/16/20,202007,7/1/20,72685,404775,4516435,89995,25014,4921210
Wed Jul 15 2020,Jul 15 2020,Jul 15 2020,2020,7,15,7/15/20,202007,7/1/20,63598,404006,4444519,89995,25003,4848525
Tue Jul 14 2020,Jul 14 2020,Jul 14 2020,2020,7,14,7/14/20,202007,7/1/20,60045,403175,4381752,89995,24994,4784927
Mon Jul 13 2020,Jul 13 2020,Jul 13 2020,2020,7,13,7/13/20,202007,7/1/20,51687,402263,4322619,89995,24989,4724882
Sun Jul 12 2020,Jul 12 2020,Jul 12 2020,2020,7,12,7/12/20,202007,7/1/20,62418,401706,4271489,89995,24979,4673195
Sat Jul 11 2020,Jul 11 2020,Jul 11 2020,2020,7,11,7/11/20,202007,7/1/20,69203,401029,4209748,89995,24974,4610777
Fri Jul 10 2020,Jul 10 2020,Jul 10 2020,2020,7,10,7/10/20,202007,7/1/20,73558,400299,4141275,89995,24968,4541574
Thu Jul 9 2020,Jul 9 2020,Jul 9 2020,2020,7,9,7/9/20,202007,7/1/20,65564,399513,4068503,89995,24959,4468016
Wed Jul 8 2020,Jul 8 2020,Jul 8 2020,2020,7,8,7/8/20,202007,7/1/20,57585,398929,4003523,89995,24944,4402452
Tue Jul 7 2020,Jul 7 2020,Jul 7 2020,2020,7,7,7/7/20,202007,7/1/20,56736,398237,3946630,89995,24924,4344867
Mon Jul 6 2020,Jul 6 2020,Jul 6 2020,2020,7,6,7/6/20,202007,7/1/20,54328,397649,3890482,89995,24913,4288131
Sun Jul 5 2020,Jul 5 2020,Jul 5 2020,2020,7,5,7/5/20,202007,7/1/20,63415,397131,3836672,89995,24904,4233803
Sat Jul 4 2020,Jul 4 2020,Jul 4 2020,2020,7,4,7/4/20,202007,7/1/20,62403,396598,3773790,89995,24896,4170388
Fri Jul 3 2020,Jul 3 2020,Jul 3 2020,2020,7,3,7/3/20,202007,7/1/20,66392,395872,3712113,89995,24885,4107985
Thu Jul 2 2020,Jul 2 2020,Jul 2 2020,2020,7,2,7/2/20,202007,7/1/20,69945,394954,3646639,89995,24877,4041593
Wed Jul 1 2020,Jul 1 2020,Jul 1 2020,2020,7,1,7/1/20,202007,7/1/20,56710,394079,3577569,89995,24866,3971648
Tue Jun 30 2020,Jun 30 2020,Jun 30 2020,2020,6,30,6/30/20,202006,6/1/20,52025,393454,3521484,89995,24855,3914938
Mon Jun 29 2020,Jun 29 2020,Jun 29 2020,2020,6,29,6/29/20,202006,6/1/20,46428,392930,3469983,89995,24842,3862913
Sun Jun 28 2020,Jun 28 2020,Jun 28 2020,2020,6,28,6/28/20,202006,6/1/20,61906,392539,3423946,89995,24835,3816485
Sat Jun 27 2020,Jun 27 2020,Jun 27 2020,2020,6,27,6/27/20,202006,6/1/20,73262,391923,3362656,89995,24830,3754579
Fri Jun 26 2020,Jun 26 2020,Jun 26 2020,2020,6,26,6/26/20,202006,6/1/20,61723,391220,3290097,89995,24814,3681317
Thu Jun 25 2020,Jun 25 2020,Jun 25 2020,2020,6,25,6/25/20,202006,6/1/20,67642,390415,3229179,89995,24800,3619594
Wed Jun 24 2020,Jun 24 2020,Jun 24 2020,2020,6,24,6/24/20,202006,6/1/20,51144,389666,3162286,89995,24782,3551952
Tue Jun 23 2020,Jun 23 2020,Jun 23 2020,2020,6,23,6/23/20,202006,6/1/20,48709,389085,3111723,89995,24766,3500808
Mon Jun 22 2020,Jun 22 2020,Jun 22 2020,2020,6,22,6/22/20,202006,6/1/20,56780,388488,3063611,89995,24739,3452099
Sun Jun 21 2020,Jun 21 2020,Jun 21 2020,2020,6,21,6/21/20,202006,6/1/20,67526,387936,3007383,89995,24725,3395319
Sat Jun 20 2020,Jun 20 2020,Jun 20 2020,2020,6,20,6/20/20,202006,6/1/20,68830,387272,2940521,89995,24710,3327793
Fri Jun 19 2020,Jun 19 2020,Jun 19 2020,2020,6,19,6/19/20,202006,6/1/20,79303,386556,2872407,89995,24686,3258963
Thu Jun 18 2020,Jun 18 2020,Jun 18 2020,2020,6,18,6/18/20,202006,6/1/20,68541,385760,2793900,89995,24661,3179660
